,MKT_CARRIER,MKT_CARRIER_NAME,OP_CARRIER,OP_CARRIER_NAME,TOT_DEN_BOARDING,TOT_BOARDING,Date
0,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,1,762892,2018-03
1,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,1046874,2018-06
2,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,979383,2018-09
3,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,997846,2018-12
4,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,1,926950,2019-03
5,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,1077064,2019-06
6,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,1,1078761,2019-09
7,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,1,1045063,2019-12
8,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,811231,2020-03
9,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,56895,2020-06
10,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,200074,2020-09
11,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,375127,2020-12
12,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,399854,2021-03
13,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,2,698950,2021-06
14,UA,United Air Lines Inc.,ZW,Air Wisconsin Airlines Corp,0,1047313,2021-09
15,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,161,6121134,2010-12
16,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,246,5604721,2011-03
17,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,284,6704438,2011-06
18,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,369,6533019,2011-09
19,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,404,5855058,2011-12
20,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,431,5188466,2012-03
21,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,601,5990763,2012-06
22,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,365,5658334,2012-09
23,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,663,4906630,2012-12
24,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,841,4525112,2013-03
25,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,683,5031798,2013-06
26,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,276,4452451,2013-09
27,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,502,3822884,2013-12
28,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,810,2761020,2014-03
29,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,581,2692186,2014-06
30,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,385,2027579,2014-09
31,FL,AirTran Airways Corporation,FL,AirTran Airways Corporation,82,1090988,2014-12
32,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,418,3852268,2010-12
33,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,439,3759030,2011-03
34,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,384,4242336,2011-06
35,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,269,4590676,2011-09
36,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,275,4008655,2011-12
37,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,247,3910885,2012-03
38,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,276,4478826,2012-06
39,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,283,4767167,2012-09
40,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,297,4218458,2012-12
41,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,190,4203186,2013-03
42,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,152,4780086,2013-06
43,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,245,5098158,2013-09
44,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,127,4436523,2013-12
45,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,248,4384631,2014-03
46,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,196,4999049,2014-06
47,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,283,5517702,2014-09
48,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,137,4937496,2014-12
49,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,219,4975547,2015-03
50,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,191,5624304,2015-06
51,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,171,6064451,2015-09
52,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,159,5430824,2015-12
53,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,284,5344476,2016-03
54,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,265,6059214,2016-06
