YEAR,MONTH,QUARTER,MKT_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_NAME,MKT_UNIQUE_CARRIER,MKT_UNIQUE_CARRIER_NAME,OP_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_NAME,OP_UNIQUE_CARRIER,OP_UNIQUE_CARRIER_NAME,PAX_ALT_TRANS,PAX_NO_ALT_TRANS,PAX_NO_COMP_1,PAX_NO_COMP_2,PAX_NO_COMP_3,TOT_DEN_BOARDING,PAX_COMP_1,PAX_COMP_2,PAX_UPGRADE,PAX_DOWNGRADE,TOT_BOARDING,COMP_PAID_1,COMP_PAID_2,COMP_PAID_3,CODE_SHARE,OP_CARRIER_SOURCE
2018,3,1,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,1,0,0,0,1,1,871,0,0,762892,0,1350,0,true,ZW
2018,6,2,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,1110,0,0,1046874,0,0,0,true,ZW
2018,9,3,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,1035,0,0,979383,0,0,0,true,ZW
2018,12,4,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,688,2,0,997846,0,0,0,true,ZW
2019,3,1,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,1,0,0,0,0,1,1,1047,0,0,926950,0,0,0,true,ZW
2019,6,2,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,1075,0,0,1077064,0,0,0,true,ZW
2019,9,3,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,1,0,0,0,1,1,1242,0,0,1078761,0,0,0,true,ZW
2019,12,4,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,1,0,0,0,1,1,846,2,0,1045063,0,0,0,true,ZW
2020,3,1,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,690,1,0,811231,0,0,0,true,ZW
2020,6,2,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,0,0,0,56895,0,0,0,true,ZW
2020,9,3,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,16,0,0,200074,0,0,0,true,ZW
2020,12,4,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,51,0,0,375127,0,0,0,true,ZW
2021,3,1,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,69,,,399854,,,0,true,ZW
2021,6,2,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,2,0,0,0,2,1,294,,,698950,,,0,true,ZW
2021,9,3,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,ZW,20046,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,0,0,0,0,0,0,0,529,,,1047313,,,0,true,ZW
2010,12,4,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,149,0,0,12,161,149,10016,0,0,6121134,23131,0,0,false,FL
2011,3,1,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,239,0,0,7,246,239,9648,0,0,5604721,35140,0,0,false,FL
2011,6,2,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,271,0,0,13,284,271,11766,0,0,6704438,49841,0,0,false,FL
2011,9,3,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,360,0,0,9,369,360,13380,0,0,6533019,80825,0,0,false,FL
2011,12,4,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,402,0,0,2,404,402,10556,0,0,5855058,186292,0,0,false,FL
2012,3,1,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,429,0,0,2,431,429,10427,0,0,5188466,268773,0,0,false,FL
2012,6,2,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,567,0,0,34,601,567,12026,0,0,5990763,277201,0,0,false,FL
2012,9,3,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,360,0,0,5,365,360,9041,0,0,5658334,144908,0,0,false,FL
2012,12,4,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,654,0,0,9,663,654,7000,0,0,4906630,337694,0,0,false,FL
2013,3,1,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,834,0,0,7,841,834,10336,0,0,4525112,487449,0,0,false,FL
2013,6,2,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,671,0,0,12,683,671,8832,0,0,5031798,368761,0,0,false,FL
2013,9,3,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,271,0,0,5,276,271,4799,0,0,4452451,147494,0,0,false,FL
2013,12,4,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,472,0,0,30,502,472,3507,0,0,3822884,330009,0,0,false,FL
2014,3,1,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,798,0,0,12,810,798,2722,0,0,2761020,558289,0,0,false,FL
2014,6,2,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,568,0,0,13,581,568,2251,0,0,2692186,386411,0,0,false,FL
2014,9,3,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,383,0,0,2,385,383,1515,0,0,2027579,192613,0,0,false,FL
2014,12,4,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,FL,20437,AirTran Airways Corporation,FL,AirTran Airways Corporation,0,75,0,0,7,82,75,394,0,0,1090988,44324,0,0,false,FL
2010,12,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,99,192,38,89,418,99,1638,24,3,3852268,0,70382,0,false,AS
2011,3,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,182,140,41,76,439,182,1798,86,3,3759030,0,152346,0,false,AS
2011,6,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,194,53,41,96,384,194,1592,138,19,4242336,0,133355,0,false,AS
